loc_id,name,latitude,longitude
loc_116948,,49.0000000,6.0000000
loc_129891,,56.0000000,10.0000000
loc_130004,,61.0000000,8.0000000
loc_19330,&#39;s-Graveland,52.1999550,5.1352680
loc_639,-12.0930840,-77.0464910
loc_3440,-15.7799990,-47.9099990
loc_137212,-16.1091670,-47.9316670
loc_95445,-23.9676260,-48.9009935
loc_73691,-25.6684977,27.2423725
loc_138771,-26.1788030,-50.3952950
loc_27688,-27.4570100,-58.9872510
loc_26067,-27.4675800,153.0278920
loc_79779,-28.4630242,-65.7687754
loc_6505,-3.1223050,-60.0146220
loc_147794,-34.4249878,-58.5799606
loc_49698,-34.7784119,-58.2097473
loc_168,-37.8100010,144.9600060
loc_49002,-8.0789900,111.9064000
loc_26730,-8.2813940,-35.9734570
loc_54009,14.4208374,120.9704234
loc_6422,21.0300000,105.8399960
loc_56856,24.7819203,112.3799962
loc_5477,25.2700000,55.3300010
loc_607,25.6700000,-100.3199990
loc_45712,25.8297220,-80.2238890
loc_5251,28.6697220,-81.2083330
loc_13067,30.0647420,31.2495090
loc_132078,32.4711110,34.9675000
loc_19628,36.4613890,-77.6544440
loc_58755,37.4489000,127.1286000
loc_135590,38.0333333,138.2500000
loc_2999,38.1156810,13.3611590
loc_3071,38.3605560,-75.5997220
loc_697,38.4300000,27.1499990
loc_807,38.9805560,-76.9372220
loc_148940,39.3950000,-86.5627780
loc_10364,40.8699980,-8.6199990
loc_2573,40.9649720,-5.6630470
loc_4577,41.2028370,14.1479730
loc_6227,41.6716670,-72.9497220
loc_13405,42.1368380,13.6239830
loc_12905,43.3199990,76.9199980
loc_556,45.0800010,7.6799990
loc_5051,45.4077370,11.8771940
loc_2758,47.0099980,6.9200000
loc_3645,48.1117370,-1.6802300
loc_17023,48.7099990,44.4799990
loc_13493,48.9174310,11.4079840
loc_9448,49.0244680,-122.8015830
loc_27712,49.3760490,2.4134920
loc_89884,5.7000000,7.4166670
loc_27864,50.1831290,19.4516030
loc_522,50.7326330,7.0964350
loc_36519,53.1500000,-4.2666667
loc_32,54.3833333,-5.4666667
loc_2852,54.7099990,20.5000000
loc_1673,58.5887910,16.1834700
loc_10376,7.1133100,-73.1204680
loc_4139,A Coruña,43.3715240,-8.3959510
loc_3646,Aachen,50.7221060,6.1972650
loc_1341,Aalborg,57.0299980,9.9300000
loc_3501,Aalst,50.9442590,4.0394520
loc_122548,Aamchit,34.1489045,35.6379896
loc_26413,Aarau,47.3928470,8.0437380
loc_45220,Aarhus,56.1581350,10.2120020
loc_20479,Aarschot,50.9955110,4.8554880
loc_4383,Abakaliki,6.3299990,8.1099990
loc_118236,Abalak,15.4500000,6.2833333
loc_129424,Abbaye Notre-Dame de Tamié,45.6870130,6.3043390
loc_49361,Abbeville,50.1097209,1.8277980
loc_23467,Abbots Langley,51.7000000,-0.4166667
loc_30739,Abbott,31.8846050,-97.0738280
loc_64239,Abeokuta,7.1561368,3.3489671
loc_16388,Aberdeen,39.5094440,-76.1644440
loc_719,Aberdeen,46.9755560,-123.8144440
loc_81373,Aberdeen,33.8251139,-88.5436553
loc_977,Aberdeen,57.1333333,-2.1000000
loc_24723,Abergele,53.2833333,-3.5833333
loc_17035,Abertawe,51.6333333,-3.9666667
loc_2058,Aberystwyth,52.4166667,-4.0666667
loc_61253,Abidjan,5.3363180,-4.0277510
loc_8074,Abidjan,5.3299990,-4.0300000
loc_1451,Abilene,32.4486110,-99.7327780
loc_22987,Abingdon,36.7082700,-81.9817500
loc_302,Abingdon,51.6666667,-1.2833333
loc_3877,Abington,40.1205560,-75.1183330
loc_23551,Ablon-sur-Seine,48.7216360,2.4183510
loc_148222,Aboisso,5.4666670,-3.2000000
loc_62936,Abomey,7.1836160,1.9889920
loc_6435,Accra,5.5599990,-0.2000000
loc_997,Accrington,53.7666667,-2.3500000
loc_14179,Acton,42.4850000,-71.4333330
loc_2394,Acton,54.3000000,-6.3666667
loc_60117,Adabraka,5.5557170,-0.1963060
loc_84460,Adachi,35.7833330,139.8000000
loc_34404,Adamsville,33.7594960,-84.5054200
loc_1062,Adana,37.0000000,35.3199990
loc_38789,Addis Ababa,9.0115700,38.7593300
loc_53,Adelaide,-34.9185410,138.6130070
loc_15759,Adjud,46.1029590,27.1894700
loc_67421,Adria,45.0125185,12.0354814
loc_88496,Adrogué,-34.8012352,-58.3889046
loc_72566,Adásztevel,47.3042780,17.5405410
loc_138982,Afogados da Ingazeira,-7.7480670,-37.6345710
loc_84513,Agadez,16.9666667,7.9833333
loc_8912,Agadir,30.4200000,-9.6099990
loc_465,Agen,44.2014920,0.6120950
loc_2670,Agoura Hills,34.1363890,-118.7736110
loc_38324,Agra,27.1777190,78.0093000
loc_137176,Agria,39.3333330,23.0333330
loc_55782,Agrinio,38.6286330,21.4123170
loc_6680,Aguadilla,18.4294440,-67.1544440
loc_129317,Aguililla,18.7377000,-102.7900000
loc_43691,Ahmedabad,23.0395740,72.5660200
loc_136,Aiken,33.5602780,-81.7197220
loc_134811,Airaines,49.9658000,1.9442000
loc_97101,Aire-sur-la-Lys,46.9492810,5.7916050
loc_151631,Ait Baha,30.0700000,-9.1550000
loc_62663,Aix en Provence,43.5365785,5.3941179
loc_1111,Aix-en-Provence,43.5249080,5.4541440
loc_15028,Aix-les-Bains,45.6894980,5.9156540
loc_14923,Ajaccio,41.9186470,8.7368790
loc_1168,Ajax,43.8549110,-79.0300380
loc_62211,Ajido,6.4166600,3.0166670
loc_121641,Ajigasawa,40.7744444,140.2030556
loc_146571,Akfadou,36.6333330,4.6000000
loc_13936,Akita,39.7166667,140.1166667
loc_317,Akron,41.0813890,-81.5191670
loc_132474,Akropong,5.9741670,-0.0880560
loc_78450,Akulivik,60.8176810,-78.1442409
loc_150443,Al-Kafrun,34.8622220,36.2355560
loc_19826,Alacant,38.3552040,-0.5157870
loc_38929,Alavus,62.5883490,23.6178390
loc_18258,Alba,32.7927780,-95.6341670
loc_2725,Albacete,38.7215620,-1.8992940
loc_1448,Albany,31.5783330,-84.1558330
loc_14663,Albany,37.8869440,-122.2966670
loc_2875,Albany,42.6525000,-73.7566670
loc_94338,Albert,50.0013570,2.6516040
loc_6562,Albert Lea,43.6480560,-93.3680560
loc_17116,Albi,43.9274230,2.1482550
loc_258,Albuquerque,35.0844440,-106.6505560
loc_143463,Alcoi-Alcoy,38.6983330,-0.4736110
